count,dis,dis_label
14,http://purl.obolibrary.org/obo/MONDO_0009181,"epidermolysis bullosa simplex 5B, with muscular dystrophy"
14,http://purl.obolibrary.org/obo/MONDO_0009192,Wolcott-Rallison syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009253,Fryns syndrome
42,http://purl.obolibrary.org/obo/MONDO_0009279,triple-A syndrome
98,http://purl.obolibrary.org/obo/MONDO_0016244,atypical hemolytic-uremic syndrome
42,http://purl.obolibrary.org/obo/MONDO_0016256,Hennekam syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009359,multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009380,Dubin-Johnson syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009393,ornithine translocase deficiency
28,http://purl.obolibrary.org/obo/MONDO_0009406,hypertrichotic osteochondrodysplasia Cantu type
14,http://purl.obolibrary.org/obo/MONDO_0017278,autoimmune polyendocrinopathy
84,http://purl.obolibrary.org/obo/MONDO_0015231,Bartter syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009426,hypoparathyroidism-retardation-dysmorphism syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009437,Bamforth-Lazarus syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009452,Vici syndrome
42,http://purl.obolibrary.org/obo/MONDO_0009459,"channelopathy-associated congenital insensitivity to pain, autosomal recessive"
28,http://purl.obolibrary.org/obo/MONDO_0017579,Baraitser-Winter cerebrofrontofacial syndrome
98,http://purl.obolibrary.org/obo/MONDO_0009480,Joubert syndrome with oculorenal defect
14,http://purl.obolibrary.org/obo/MONDO_0009485,"oculocerebrofacial syndrome, Kaufman type"
14,http://purl.obolibrary.org/obo/MONDO_0009509,Landau-Kleffner syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009513,laryngo-onycho-cutaneous syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009514,Laurence-Moon syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009517,Donohue syndrome
42,http://purl.obolibrary.org/obo/MONDO_0009532,Miller-Dieker lissencephaly syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009567,Marinesco-Sjogren syndrome
266,http://purl.obolibrary.org/obo/MONDO_0018921,Meckel syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009579,Frank-Ter Haar syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009598,metaphyseal chondrodysplasia-retinitis pigmentosa syndrome
42,http://purl.obolibrary.org/obo/MONDO_0009624,microcephaly and chorioretinopathy 1
140,http://purl.obolibrary.org/obo/MONDO_0009627,Galloway-Mowat syndrome
28,http://purl.obolibrary.org/obo/MONDO_0018938,mucopolysaccharidosis type 4
56,http://purl.obolibrary.org/obo/MONDO_0018937,mucopolysaccharidosis type 3
28,http://purl.obolibrary.org/obo/MONDO_0009661,mucopolysaccharidosis type 6
14,http://purl.obolibrary.org/obo/MONDO_0009664,mulibrey nanism
84,http://purl.obolibrary.org/obo/MONDO_0009668,lethal multiple pterygium syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009670,lethal congenital contracture syndrome 1
28,http://purl.obolibrary.org/obo/MONDO_0009717,Schwartz-Jampel syndrome
98,http://purl.obolibrary.org/obo/MONDO_0009728,nephronophthisis 1
14,http://purl.obolibrary.org/obo/MONDO_0009735,Netherton syndrome
672,http://purl.obolibrary.org/obo/MONDO_0015150,complex hereditary spastic paraplegia
42,http://purl.obolibrary.org/obo/MONDO_0009760,Norman-Roberts syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009798,Primrose syndrome
28,http://purl.obolibrary.org/obo/MONDO_0017195,Bruck syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009820,osteoporosis-pseudoglioma syndrome
42,http://purl.obolibrary.org/obo/MONDO_0009833,Shwachman-Diamond syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009841,PEHO syndrome
28,http://purl.obolibrary.org/obo/MONDO_0009853,Imerslund-Grasbeck syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009856,Peters plus syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009874,Rabson-Mendenhall syndrome
84,http://purl.obolibrary.org/obo/MONDO_0015892,growth hormone insensitivity syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009903,postaxial acrofacial dysostosis
28,http://purl.obolibrary.org/obo/MONDO_0009904,Gitelman syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009910,Wiedemann-Rautenstrauch syndrome
28,http://purl.obolibrary.org/obo/MONDO_0009926,autosomal recessive multiple pterygium syndrome
14,http://purl.obolibrary.org/obo/MONDO_0009965,Perlman syndrome
14,http://purl.obolibrary.org/obo/MONDO_0010026,SHORT syndrome
56,http://purl.obolibrary.org/obo/MONDO_0010080,familial infantile bilateral striatal necrosis
14,http://purl.obolibrary.org/obo/MONDO_0010121,thrombocytopenia-absent radius syndrome
42,http://purl.obolibrary.org/obo/MONDO_0010134,Pendred syndrome
238,http://purl.obolibrary.org/obo/MONDO_0019501,Usher syndrome
14,http://purl.obolibrary.org/obo/MONDO_0010172,VACTERL with hydrocephalus
28,http://purl.obolibrary.org/obo/MONDO_0017771,Mayer-Rokitansky-Kuster-Hauser syndrome
42,http://purl.obolibrary.org/obo/MONDO_0010193,Weaver syndrome
98,http://purl.obolibrary.org/obo/MONDO_0018096,Weill-Marchesani syndrome
14,http://purl.obolibrary.org/obo/MONDO_0010196,Werner syndrome
56,http://purl.obolibrary.org/obo/MONDO_0016354,xeroderma pigmentosum-Cockayne syndrome complex
14,http://purl.obolibrary.org/obo/MONDO_0017138,Opitz G/BBB syndrome
14,http://purl.obolibrary.org/obo/MONDO_0010224,corpus callosum agenesis-abnormal genitalia syndrome
56,http://purl.obolibrary.org/obo/MONDO_0020491,subcortical band heterotopia
56,http://purl.obolibrary.org/obo/MONDO_0010263,Alport syndrome-intellectual disability-midface hypoplasia-elliptocytosis syndrome
28,http://purl.obolibrary.org/obo/MONDO_0010731,Simpson-Golabi-Behmel syndrome
14,http://purl.obolibrary.org/obo/MONDO_0010268,X-linked lissencephaly with abnormal genitalia
28,http://purl.obolibrary.org/obo/MONDO_0010271,X-linked myotubular myopathy-abnormal genitalia syndrome
14,http://purl.obolibrary.org/obo/MONDO_0010278,Christianson syndrome
14,http://purl.obolibrary.org/obo/MONDO_0010298,Lesch-Nyhan syndrome
14,http://purl.obolibrary.org/obo/MONDO_0010328,alpha-thalassemia-myelodysplastic syndrome
14,http://purl.obolibrary.org/obo/MONDO_0010382,fragile X-associated tremor/ataxia syndrome
14,http://purl.obolibrary.org/obo/MONDO_0010383,fragile X syndrome
196,http://purl.obolibrary.org/obo/MONDO_0018097,infantile spasms
14,http://purl.obolibrary.org/obo/MONDO_0010408,syndactyly-telecanthus-anogenital and renal malformations syndrome
14,http://purl.obolibrary.org/obo/MONDO_0010463,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type"
14,http://purl.obolibrary.org/obo/MONDO_0010475,X-linked central congenital hypothyroidism with late-onset testicular enlargement
14,http://purl.obolibrary.org/obo/MONDO_0010533,Arts syndrome
14,http://purl.obolibrary.org/obo/MONDO_0010554,Abruzzo-Erickson syndrome
14,http://purl.obolibrary.org/obo/MONDO_0010570,craniofrontonasal syndrome
14,http://purl.obolibrary.org/obo/MONDO_0010580,immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome
14,http://purl.obolibrary.org/obo/MONDO_0010645,oculocerebrorenal syndrome
