count,dis,dis_label
153,http://purl.obolibrary.org/obo/MONDO_0015388,polyrrhinia
119,http://purl.obolibrary.org/obo/MONDO_0015389,supernumerary nostril
833,http://purl.obolibrary.org/obo/MONDO_0015390,proboscis lateralis
186,http://purl.obolibrary.org/obo/MONDO_0015743,idiopathic bilateral vestibulopathy
287,http://purl.obolibrary.org/obo/MONDO_0016217,mal de Debarquement
136,http://purl.obolibrary.org/obo/MONDO_0017340,juvenile nasopharyngeal angiofibroma
85,http://purl.obolibrary.org/obo/MONDO_0018058,tracheal agenesis
391,http://purl.obolibrary.org/obo/MONDO_0018955,recurrent respiratory papillomatosis
51,http://purl.obolibrary.org/obo/MONDO_0019108,silent sinus syndrome
765,http://purl.obolibrary.org/obo/MONDO_0019804,congenital tracheomalacia
2651,http://purl.obolibrary.org/obo/MONDO_0000179,Neu-Laxova syndrome
15671,http://purl.obolibrary.org/obo/MONDO_0002917,disorder of pilosebaceous unit
9983,http://purl.obolibrary.org/obo/MONDO_0024481,skin appendage disorder
771,http://purl.obolibrary.org/obo/MONDO_0000254,cutaneous mycosis
11715,http://purl.obolibrary.org/obo/MONDO_0000652,integumentary system benign neoplasm
2117,http://purl.obolibrary.org/obo/MONDO_0000653,integumentary system cancer
304167,http://purl.obolibrary.org/obo/MONDO_0005093,skin disorder
1563,http://purl.obolibrary.org/obo/MONDO_0002884,nail disorder
10403,http://purl.obolibrary.org/obo/MONDO_0019296,subcutaneous tissue disorder
21888,http://purl.obolibrary.org/obo/MONDO_0045011,keratinization disease
408,http://purl.obolibrary.org/obo/MONDO_0006591,panniculitis
238,http://purl.obolibrary.org/obo/MONDO_0007085,alopecia-epilepsy-pyorrhea-intellectual disability syndrome
670,http://purl.obolibrary.org/obo/MONDO_0007420,autosomal dominant deafness - onychodystrophy syndrome
382,http://purl.obolibrary.org/obo/MONDO_0007422,keratoderma hereditarium mutilans
64,http://purl.obolibrary.org/obo/MONDO_0008390,Rombo syndrome
1029,http://purl.obolibrary.org/obo/MONDO_0010031,Sjogren-Larsson syndrome
1039,http://purl.obolibrary.org/obo/MONDO_0010088,mucosulfatidosis
1638,http://purl.obolibrary.org/obo/MONDO_0017269,X-linked ichthyosis syndrome
96,http://purl.obolibrary.org/obo/MONDO_0018453,familial atypical multiple mole melanoma syndrome
395,http://purl.obolibrary.org/obo/MONDO_0012089,ichthyosis prematurity syndrome
1152,http://purl.obolibrary.org/obo/MONDO_0018891,familial tumoral calcinosis
1627,http://purl.obolibrary.org/obo/MONDO_0024308,pseudoxanthoma elasticum (inherited or acquired)
879,http://purl.obolibrary.org/obo/MONDO_0012794,ANE syndrome
1486,http://purl.obolibrary.org/obo/MONDO_0013268,frontonasal dysplasia with alopecia and genital anomaly
357,http://purl.obolibrary.org/obo/MONDO_0014574,peeling skin-leukonuchia-acral punctate keratoses-cheilitis-knuckle pads syndrome
470,http://purl.obolibrary.org/obo/MONDO_0014608,mandibulofacial dysostosis with alopecia
26260,http://purl.obolibrary.org/obo/MONDO_0016175,cutis laxa
527,http://purl.obolibrary.org/obo/MONDO_0017571,Proteus-like syndrome
119,http://purl.obolibrary.org/obo/MONDO_0700266,paraneoplastic cutaneous syndrome
14969,http://purl.obolibrary.org/obo/MONDO_0018940,congenital myasthenic syndrome
2308,http://purl.obolibrary.org/obo/MONDO_0000507,inclusion body myopathy with Paget disease of bone and frontotemporal dementia
181598,http://purl.obolibrary.org/obo/MONDO_0000508,syndromic intellectual disability
1213,http://purl.obolibrary.org/obo/MONDO_0000816,abdominal obesity-metabolic syndrome
28,http://purl.obolibrary.org/obo/MONDO_0021670,post-infectious syndrome
5783,http://purl.obolibrary.org/obo/MONDO_0007432,cerebral arteriopathy with subcortical infarcts and leukoencephalopathy
1963,http://purl.obolibrary.org/obo/MONDO_0001083,Fanconi renotubular syndrome
14,http://purl.obolibrary.org/obo/MONDO_0001332,palindromic rheumatism
789,http://purl.obolibrary.org/obo/MONDO_0001823,sick sinus syndrome
1048,http://purl.obolibrary.org/obo/MONDO_0001881,toxic shock syndrome
391,http://purl.obolibrary.org/obo/MONDO_0001956,capillary leak syndrome
7718,http://purl.obolibrary.org/obo/MONDO_0019499,Turner syndrome
14,http://purl.obolibrary.org/obo/MONDO_0001979,dumping syndrome
4927,http://purl.obolibrary.org/obo/MONDO_0002010,FG syndrome
7140,http://purl.obolibrary.org/obo/MONDO_0005377,nephrotic syndrome
5236,http://purl.obolibrary.org/obo/MONDO_0002442,long QT syndrome
2667,http://purl.obolibrary.org/obo/MONDO_0002457,Treacher-Collins syndrome
3173,http://purl.obolibrary.org/obo/MONDO_0003157,disappearing bone disease
6431,http://purl.obolibrary.org/obo/MONDO_0016463,syndromic agammaglobulinemia
4247,http://purl.obolibrary.org/obo/MONDO_0018912,Cushing syndrome
1703,http://purl.obolibrary.org/obo/MONDO_0015691,hypereosinophilic syndrome
4876,http://purl.obolibrary.org/obo/MONDO_0100614,syndromic congenital heart disease
1701,http://purl.obolibrary.org/obo/MONDO_8000010,antiphospholipid syndrome
14,http://purl.obolibrary.org/obo/MONDO_0005404,myalgic encephalomeyelitis/chronic fatigue syndrome
14,http://purl.obolibrary.org/obo/MONDO_0005567,substance withdrawal syndrome
56,http://purl.obolibrary.org/obo/MONDO_0005663,Barre-Lieou syndrome
442,http://purl.obolibrary.org/obo/MONDO_0005851,Miller Fisher syndrome
323,http://purl.obolibrary.org/obo/MONDO_0005979,thoracic outlet syndrome
289,http://purl.obolibrary.org/obo/MONDO_0006687,burning mouth syndrome
340,http://purl.obolibrary.org/obo/MONDO_0024263,neonatal aspiration syndrome
1430,http://purl.obolibrary.org/obo/MONDO_0007029,branchio-oto-renal syndrome
