dis,dis_label,associations_count,phenotypes_count
http://purl.obolibrary.org/obo/MONDO_0000951,thymus lymphoma,28,
http://purl.obolibrary.org/obo/MONDO_0000960,diabetic peripheral angiopathy,,14
http://purl.obolibrary.org/obo/MONDO_0000984,thalassemia,98,3537
http://purl.obolibrary.org/obo/MONDO_0000986,pleurisy,,98
http://purl.obolibrary.org/obo/MONDO_0000992,heart conduction disease,602,4936
http://purl.obolibrary.org/obo/MONDO_0000995,familial periodic paralysis,154,3718
http://purl.obolibrary.org/obo/MONDO_0001014,chronic leukemia,350,50
http://purl.obolibrary.org/obo/MONDO_0001029,Klippel-Feil syndrome,56,2123
http://purl.obolibrary.org/obo/MONDO_0001039,tonsillitis,,14
http://purl.obolibrary.org/obo/MONDO_0001040,nasopharyngitis,,14
http://purl.obolibrary.org/obo/MONDO_0001045,intestinal atresia,28,2332
http://purl.obolibrary.org/obo/MONDO_0001046,imperforate anus,,14
http://purl.obolibrary.org/obo/MONDO_0001056,gastric cancer,56,133
http://purl.obolibrary.org/obo/MONDO_0001065,supine hypotensive syndrome,,14
http://purl.obolibrary.org/obo/MONDO_0001066,late yaws,,14
http://purl.obolibrary.org/obo/MONDO_0001068,osteomalacia,,609
http://purl.obolibrary.org/obo/MONDO_0001071,intellectual disability,3458,258064
http://purl.obolibrary.org/obo/MONDO_0001074,chronic tic disorder,,14
http://purl.obolibrary.org/obo/MONDO_0001083,Fanconi renotubular syndrome,56,1963
http://purl.obolibrary.org/obo/MONDO_0001084,primary optic atrophy,252,8247
http://purl.obolibrary.org/obo/MONDO_0001085,interstitial nephritis,14,234
http://purl.obolibrary.org/obo/MONDO_0001100,hypertrophy of breast,,14
http://purl.obolibrary.org/obo/MONDO_0001104,toxic diffuse goiter,,830
http://purl.obolibrary.org/obo/MONDO_0001105,renal hypertension,,14
http://purl.obolibrary.org/obo/MONDO_0001109,petrositis,,14
http://purl.obolibrary.org/obo/MONDO_0001115,familial polycythemia,42,1963
http://purl.obolibrary.org/obo/MONDO_0001117,methemoglobinemia,70,1330
http://purl.obolibrary.org/obo/MONDO_0001134,essential hypertension,,48
http://purl.obolibrary.org/obo/MONDO_0001142,salivary gland disorder,,1746
http://purl.obolibrary.org/obo/MONDO_0001146,fourth cranial nerve palsy,,83
http://purl.obolibrary.org/obo/MONDO_0001149,microcephaly,546,19382
http://purl.obolibrary.org/obo/MONDO_0001150,hydrocephalus,126,3410
http://purl.obolibrary.org/obo/MONDO_0001152,amnestic disorder,,14
http://purl.obolibrary.org/obo/MONDO_0001161,schizoid personality disorder,,14
http://purl.obolibrary.org/obo/MONDO_0001162,impulse control disorder,,90
http://purl.obolibrary.org/obo/MONDO_0001165,tongue disorder,,529
http://purl.obolibrary.org/obo/MONDO_0001166,nephritis,322,7251
http://purl.obolibrary.org/obo/MONDO_0001170,hemiplegia,126,2229
http://purl.obolibrary.org/obo/MONDO_0001176,lens disorder,1288,10636
http://purl.obolibrary.org/obo/MONDO_0001187,urinary bladder cancer,,134
http://purl.obolibrary.org/obo/MONDO_0001195,spotted fever,,442
http://purl.obolibrary.org/obo/MONDO_0001196,psychologic dyspareunia,,14
http://purl.obolibrary.org/obo/MONDO_0001198,acquired thrombocytopenia,,697
http://purl.obolibrary.org/obo/MONDO_0001200,secondary hypertension,,14
http://purl.obolibrary.org/obo/MONDO_0001208,acute respiratory failure,42,1132
http://purl.obolibrary.org/obo/MONDO_0001214,acute conjunctivitis,,14
http://purl.obolibrary.org/obo/MONDO_0001220,hypoparathyroidism,154,9941
http://purl.obolibrary.org/obo/MONDO_0001222,congenital T-cell immunodeficiency,14,2236
http://purl.obolibrary.org/obo/MONDO_0001223,parathyroid gland disorder,294,14853
http://purl.obolibrary.org/obo/MONDO_0001235,appendix cancer,,204
http://purl.obolibrary.org/obo/MONDO_0001236,appendiceal neoplasm,,714
http://purl.obolibrary.org/obo/MONDO_0001241,transient neonatal neutropenia,,14
http://purl.obolibrary.org/obo/MONDO_0001243,disseminated intravascular coagulation,,425
