count,dis,dis_label
109,http://purl.obolibrary.org/obo/MONDO_0007191,Behcet disease
82,http://purl.obolibrary.org/obo/MONDO_0016085,Cole-Carpenter syndrome
8,http://purl.obolibrary.org/obo/MONDO_0007211,brachydactyly-arterial hypertension syndrome
174,http://purl.obolibrary.org/obo/MONDO_0016432,heart-hand syndrome
21,http://purl.obolibrary.org/obo/MONDO_0007216,brachydactyly type A2
8,http://purl.obolibrary.org/obo/MONDO_0007225,fibular aplasia-ectrodactyly syndrome
7,http://purl.obolibrary.org/obo/MONDO_0007226,brachydactyly-nystagmus-cerebellar ataxia syndrome
26,http://purl.obolibrary.org/obo/MONDO_0007227,Sillence syndrome
44,http://purl.obolibrary.org/obo/MONDO_0007230,Brachymorphism-onychodysplasia-dysphalangism syndrome
19,http://purl.obolibrary.org/obo/MONDO_0007231,brachytelephalangy-dysmorphism-Kallmann syndrome
22,http://purl.obolibrary.org/obo/MONDO_0007269,dilated cardiomyopathy 1A
47,http://purl.obolibrary.org/obo/MONDO_0007276,cat-eye syndrome
60,http://purl.obolibrary.org/obo/MONDO_0007301,cerebrocostomandibular syndrome
2388,http://purl.obolibrary.org/obo/MONDO_0019751,autoinflammatory syndrome
124,http://purl.obolibrary.org/obo/MONDO_0007318,Alagille syndrome
26,http://purl.obolibrary.org/obo/MONDO_0007321,autosomal dominant chondrodysplasia punctata
72,http://purl.obolibrary.org/obo/MONDO_0018637,familial chylomicronemia syndrome
94,http://purl.obolibrary.org/obo/MONDO_0007340,cleidocranial dysplasia 1
7,http://purl.obolibrary.org/obo/MONDO_0007341,cleidorhizomelic syndrome
8,http://purl.obolibrary.org/obo/MONDO_0007346,cochleosaccular degeneration-cataract syndrome
49,http://purl.obolibrary.org/obo/MONDO_0007352,renal coloboma syndrome
39,http://purl.obolibrary.org/obo/MONDO_0018878,branchiootic syndrome
483,http://purl.obolibrary.org/obo/MONDO_0016033,Cornelia de Lange syndrome
83,http://purl.obolibrary.org/obo/MONDO_0007404,Cri-du-chat syndrome
2411,http://purl.obolibrary.org/obo/MONDO_0015338,syndromic craniosynostosis
81,http://purl.obolibrary.org/obo/MONDO_0007473,Duane retraction syndrome
151,http://purl.obolibrary.org/obo/MONDO_0007477,3-M syndrome
78,http://purl.obolibrary.org/obo/MONDO_0016516,Kenny-Caffey syndrome
4,http://purl.obolibrary.org/obo/MONDO_0007486,hereditary benign intraepithelial dyskeratosis
196,http://purl.obolibrary.org/obo/MONDO_0010004,EEC syndrome
1611,http://purl.obolibrary.org/obo/MONDO_0020066,Ehlers-Danlos syndrome
14,http://purl.obolibrary.org/obo/MONDO_0007539,"encephalopathy, recurrent, of childhood"
100,http://purl.obolibrary.org/obo/MONDO_0007542,Camurati-Engelmann disease
38,http://purl.obolibrary.org/obo/MONDO_0007603,Felty syndrome
597,http://purl.obolibrary.org/obo/MONDO_0015452,Coffin-Siris syndrome
9,http://purl.obolibrary.org/obo/MONDO_0007631,"chromosome 16p12.1 deletion syndrome, 520kb"
20,http://purl.obolibrary.org/obo/MONDO_0007635,Frasier syndrome
53,http://purl.obolibrary.org/obo/MONDO_0007646,Gamstorp-Wohlfart syndrome
8,http://purl.obolibrary.org/obo/MONDO_0007661,Tourette syndrome
3,http://purl.obolibrary.org/obo/MONDO_0007666,glaucoma-sleep apnea syndrome
58,http://purl.obolibrary.org/obo/MONDO_0007669,renal cysts and diabetes syndrome
58,http://purl.obolibrary.org/obo/MONDO_0007670,hypotrichosis-lymphedema-telangiectasia syndrome (grouping)
13,http://purl.obolibrary.org/obo/MONDO_0007679,GMS syndrome
22,http://purl.obolibrary.org/obo/MONDO_0100216,DICER1-related tumor predisposition
17,http://purl.obolibrary.org/obo/MONDO_0007686,gray platelet syndrome
25,http://purl.obolibrary.org/obo/MONDO_0016218,Guillain-Barre syndrome
25,http://purl.obolibrary.org/obo/MONDO_0007710,facial hemiatrophy
9,http://purl.obolibrary.org/obo/MONDO_0007711,Bencze syndrome
61,http://purl.obolibrary.org/obo/MONDO_0007716,alpha thalassemia-intellectual disability syndrome type 1
840,http://purl.obolibrary.org/obo/MONDO_0016296,holoprosencephaly
4,http://purl.obolibrary.org/obo/MONDO_0007745,Gilbert syndrome
40,http://purl.obolibrary.org/obo/MONDO_0007797,hypoparathyroidism-deafness-renal disease syndrome
57,http://purl.obolibrary.org/obo/MONDO_0007800,chromosome 18p deletion syndrome
158,http://purl.obolibrary.org/obo/MONDO_0007804,Pallister-Hall syndrome
7,http://purl.obolibrary.org/obo/MONDO_0007811,ichthyosis-cheek-eyebrow syndrome
104,http://purl.obolibrary.org/obo/MONDO_0007838,Jacobsen syndrome
319,http://purl.obolibrary.org/obo/MONDO_0016512,Kabuki syndrome
265,http://purl.obolibrary.org/obo/MONDO_0018800,Kallmann syndrome
14,http://purl.obolibrary.org/obo/MONDO_0007853,palmoplantar keratoderma-hereditary motor and sensory neuropathy syndrome
21,http://purl.obolibrary.org/obo/MONDO_0007856,palmoplantar keratoderma-esophageal carcinoma syndrome
270,http://purl.obolibrary.org/obo/MONDO_0018094,Waardenburg syndrome
37,http://purl.obolibrary.org/obo/MONDO_0007863,Kleine-Levin syndrome
45,http://purl.obolibrary.org/obo/MONDO_0007864,angioosteohypertrophic syndrome
6,http://purl.obolibrary.org/obo/MONDO_0007880,congenital laryngeal web
100,http://purl.obolibrary.org/obo/MONDO_0007892,Lenz-Majewski hyperostotic dwarfism
147,http://purl.obolibrary.org/obo/MONDO_0007893,Noonan syndrome with multiple lentigines
3,http://purl.obolibrary.org/obo/MONDO_0007917,lymphedema-cerebral arteriovenous anomaly syndrome
93,http://purl.obolibrary.org/obo/MONDO_0007918,"microcephaly with or without chorioretinopathy, lymphedema, or intellectual disability"
26,http://purl.obolibrary.org/obo/MONDO_0007921,yellow nail syndrome
41,http://purl.obolibrary.org/obo/MONDO_0007922,lymphedema-distichiasis syndrome
43,http://purl.obolibrary.org/obo/MONDO_0009276,Bernard-Soulier syndrome
97,http://purl.obolibrary.org/obo/MONDO_0007943,Nager acrofacial dysostosis
22,http://purl.obolibrary.org/obo/MONDO_0007946,jaw-winking syndrome
150,http://purl.obolibrary.org/obo/MONDO_0007947,Marfan syndrome
16,http://purl.obolibrary.org/obo/MONDO_0007969,Melkersson-Rosenthal syndrome
61,http://purl.obolibrary.org/obo/MONDO_0007982,"metaphyseal chondrodysplasia, Jansen type"
50,http://purl.obolibrary.org/obo/MONDO_0007983,Schmid metaphyseal chondrodysplasia
15,http://purl.obolibrary.org/obo/MONDO_0007984,metaphyseal dysplasia-maxillary hypoplasia-brachydacty syndrome
48,http://purl.obolibrary.org/obo/MONDO_0007993,microgastria-limb reduction defect syndrome
96,http://purl.obolibrary.org/obo/MONDO_0008006,Mobius syndrome
7,http://purl.obolibrary.org/obo/MONDO_0008023,muscular atrophy-ataxia-retinitis pigmentosa-diabetes mellitus syndrome
99,http://purl.obolibrary.org/obo/MONDO_0008061,nail-patella syndrome
701,http://purl.obolibrary.org/obo/MONDO_0018997,Noonan syndrome
21,http://purl.obolibrary.org/obo/MONDO_0008113,Schilbach-Rott syndrome
108,http://purl.obolibrary.org/obo/MONDO_0015267,Feingold syndrome
3,http://purl.obolibrary.org/obo/MONDO_0008138,syndromic orbital border hypoplasia
11,http://purl.obolibrary.org/obo/MONDO_0008157,Buschke-Ollendorff syndrome
105,http://purl.obolibrary.org/obo/MONDO_0016620,primary hypertrophic osteoarthropathy
37,http://purl.obolibrary.org/obo/MONDO_0008182,nasopalpebral lipoma-coloboma syndrome
304,http://purl.obolibrary.org/obo/MONDO_0016120,myotonic syndrome
32,http://purl.obolibrary.org/obo/MONDO_0008201,Perry syndrome
67,http://purl.obolibrary.org/obo/MONDO_0008262,Poland syndrome
5,http://purl.obolibrary.org/obo/MONDO_0008268,polydactyly-myopia syndrome
56,http://purl.obolibrary.org/obo/MONDO_0008287,Greig cephalopolysyndactyly syndrome
653,http://purl.obolibrary.org/obo/MONDO_0008300,Prader-Willi syndrome
6,http://purl.obolibrary.org/obo/MONDO_0008301,Guttmacher syndrome
104,http://purl.obolibrary.org/obo/MONDO_0008310,Hutchinson-Gilford progeria syndrome
72,http://purl.obolibrary.org/obo/MONDO_0008311,progeria-short stature-pigmented nevi syndrome
28,http://purl.obolibrary.org/obo/MONDO_0008323,Liddle syndrome
2,http://purl.obolibrary.org/obo/MONDO_0008341,ptosis-strabismus-ectopic pupils syndrome
7,http://purl.obolibrary.org/obo/MONDO_0008357,radial hypoplasia-triphalangeal thumbs-hypospadias-maxillary diastema syndrome
